,loss,method,ndcg@10,dcg@10,map,auc,gamma
0,logloss,loss,0.6240683943348788,1.4860616429984381,0.53860945067217,0.6810242256724306,1.0
1,logloss,auc,0.6240683943348788,1.4860616429984381,0.53860945067217,0.6810242256724306,1.0
2,logloss,ndcg@10,0.6240683943348788,1.4860616429984381,0.53860945067217,0.6810242256724306,1.0
3,logloss,dcg@10,0.6240683943348788,1.4860616429984381,0.53860945067217,0.6810242256724306,1.0
4,logloss,map,0.6240683943348788,1.4860616429984381,0.53860945067217,0.6810242256724306,1.0
5,ranknet,loss,0.7286025474724436,1.7643365860902027,0.6473651109838771,0.7879739880345479,1.0
6,ranknet,auc,0.7286025474724436,1.7643365860902027,0.6473651109838771,0.7879739880345479,1.0
7,ranknet,ndcg@10,0.7234621501656809,1.7464977165552256,0.6394395219209793,0.7844774501619322,1.0
8,ranknet,dcg@10,0.7286025474724436,1.7643365860902027,0.6473651109838771,0.7879739880345479,1.0
9,ranknet,map,0.7220177763440884,1.7456816091121332,0.6400340375775191,0.7841422961931679,1.0
10,sym_logloss,loss,0.38442285959722616,0.8639393567505735,0.3175685714202857,0.3527594086332201,1.0
11,sym_logloss,auc,0.5572635933313648,1.3230619653563949,0.46731184235554246,0.5539636354626086,1.0
12,sym_logloss,ndcg@10,0.5572635933313648,1.3230619653563949,0.46731184235554246,0.5539636354626086,1.0
13,sym_logloss,dcg@10,0.5572635933313648,1.3230619653563949,0.46731184235554246,0.5539636354626086,1.0
14,sym_logloss,map,0.5572635933313648,1.3230619653563949,0.46731184235554246,0.5539636354626086,1.0
15,sym_ranknet,loss,0.7292037907300337,1.7653609923838227,0.6469135143666566,0.7842143480580966,1.0
16,sym_ranknet,auc,0.729858621926879,1.7651602434963356,0.6477555603308311,0.7843531631904963,1.0
17,sym_ranknet,ndcg@10,0.729858621926879,1.7651602434963356,0.6477555603308311,0.7843531631904963,1.0
18,sym_ranknet,dcg@10,0.729858621926879,1.7651602434963356,0.6477555603308311,0.7843531631904963,1.0
19,sym_ranknet,map,0.729858621926879,1.7651602434963356,0.6477555603308311,0.7843531631904963,1.0
20,logloss,loss,0.6232139188238829,1.4690836405812122,0.5384161530318252,0.6805344914506287,0.9
21,logloss,auc,0.6232139188238829,1.4690836405812122,0.5384161530318252,0.6805344914506287,0.9
22,logloss,ndcg@10,0.6232139188238829,1.4690836405812122,0.5384161530318252,0.6805344914506287,0.9
23,logloss,dcg@10,0.6232139188238829,1.4690836405812122,0.5384161530318252,0.6805344914506287,0.9
24,logloss,map,0.6232139188238829,1.4690836405812122,0.5384161530318252,0.6805344914506287,0.9
25,ranknet,loss,0.7281094570285371,1.7535607072652806,0.6463902774825581,0.7822977987416811,0.9
26,ranknet,auc,0.7281094570285371,1.7535607072652806,0.6463902774825581,0.7822977987416811,0.9
27,ranknet,ndcg@10,0.7281094570285371,1.7535607072652806,0.6463902774825581,0.7822977987416811,0.9
28,ranknet,dcg@10,0.7281094570285371,1.7535607072652806,0.6463902774825581,0.7822977987416811,0.9
29,ranknet,map,0.7281094570285371,1.7535607072652806,0.6463902774825581,0.7822977987416811,0.9
30,sym_logloss,loss,0.38571857119686953,0.8670415371281158,0.31744657049517433,0.35343664183245604,0.9
31,sym_logloss,auc,0.568615990474166,1.3454339002866695,0.47667848989479245,0.565536914876053,0.9
32,sym_logloss,ndcg@10,0.568615990474166,1.3454339002866695,0.47667848989479245,0.565536914876053,0.9
33,sym_logloss,dcg@10,0.568615990474166,1.3454339002866695,0.47667848989479245,0.565536914876053,0.9
34,sym_logloss,map,0.568615990474166,1.3454339002866695,0.47667848989479245,0.565536914876053,0.9
35,sym_ranknet,loss,0.7294619737353917,1.7453597369326062,0.6479319867737947,0.7809169044982784,0.9
36,sym_ranknet,auc,0.7292364173889704,1.7438532754906186,0.6484785279008836,0.7823724691780126,0.9
37,sym_ranknet,ndcg@10,0.7299440297670151,1.7454195878024852,0.6485796366837976,0.7820075045053999,0.9
38,sym_ranknet,dcg@10,0.7299440297670151,1.7454195878024852,0.6485796366837976,0.7820075045053999,0.9
39,sym_ranknet,map,0.7293932593556144,1.7440512164068114,0.6486824370233597,0.7825584555902781,0.9
40,logloss,loss,0.6238135775492202,1.46865258814088,0.5308465788931975,0.6691121916747415,0.8
41,logloss,auc,0.6238135775492202,1.46865258814088,0.5308465788931975,0.6691121916747415,0.8
42,logloss,ndcg@10,0.6238135775492202,1.46865258814088,0.5308465788931975,0.6691121916747415,0.8
43,logloss,dcg@10,0.5778554662894584,1.3762727633916962,0.48462969565378744,0.6249229233624625,0.8
44,logloss,map,0.6238135775492202,1.46865258814088,0.5308465788931975,0.6691121916747415,0.8
45,ranknet,loss,0.7098238345506888,1.69546205622681,0.6236742873845212,0.7613061505717398,0.8
46,ranknet,auc,0.7098238345506888,1.69546205622681,0.6236742873845212,0.7613061505717398,0.8
47,ranknet,ndcg@10,0.7098238345506888,1.69546205622681,0.6236742873845212,0.7613061505717398,0.8
48,ranknet,dcg@10,0.7098238345506888,1.69546205622681,0.6236742873845212,0.7613061505717398,0.8
49,ranknet,map,0.7098238345506888,1.69546205622681,0.6236742873845212,0.7613061505717398,0.8
50,sym_logloss,loss,0.389118230209641,0.8753659319140028,0.32065216070984587,0.3643743754452471,0.8
51,sym_logloss,auc,0.5683325497767342,1.3508819153797385,0.47805025032757664,0.5657753960041599,0.8
52,sym_logloss,ndcg@10,0.5683325497767342,1.3508819153797385,0.47805025032757664,0.5657753960041599,0.8
