,loss,method,ndcg@10,dcg@10,map,auc,gamma
36,sym_ranknet,auc,0.5043155733377794,0.5043155733377794,0.19324183916624973,0.7602166369145522,0.9
37,sym_ranknet,ndcg@10,0.5043155733377794,0.5043155733377794,0.19324183916624973,0.7602166369145522,0.9
38,sym_ranknet,dcg@10,0.5043155733377794,0.5043155733377794,0.19324183916624973,0.7602166369145522,0.9
39,sym_ranknet,map,0.5043155733377794,0.5043155733377794,0.19324183916624973,0.7602166369145522,0.9
40,logloss,loss,0.24620584369683707,0.24620584369683707,0.05663149729815683,0.5234727769416366,0.8
41,logloss,auc,0.4058383004587487,0.4058383004587487,0.10744193342137347,0.6633742102635803,0.8
42,logloss,ndcg@10,0.4058383004587487,0.4058383004587487,0.10744193342137347,0.6633742102635803,0.8
43,logloss,dcg@10,0.4058383004587487,0.4058383004587487,0.10744193342137347,0.6633742102635803,0.8
44,logloss,map,0.4058383004587487,0.4058383004587487,0.10744193342137347,0.6633742102635803,0.8
45,ranknet,loss,0.33566457400951216,0.33566457400951216,0.08687063114431265,0.6136063945033039,0.8
46,ranknet,auc,0.420316326417873,0.420316326417873,0.12656311358527597,0.6861455680615517,0.8
47,ranknet,ndcg@10,0.420316326417873,0.420316326417873,0.12656311358527597,0.6861455680615517,0.8
48,ranknet,dcg@10,0.420316326417873,0.420316326417873,0.12656311358527597,0.6861455680615517,0.8
49,ranknet,map,0.420316326417873,0.420316326417873,0.12656311358527597,0.6861455680615517,0.8
50,sym_logloss,loss,0.3576594480265675,0.3576594480265675,0.06712946186452141,0.5787207902323592,0.8
51,sym_logloss,auc,0.3576594480265675,0.3576594480265675,0.06712946186452141,0.5787207902323592,0.8
52,sym_logloss,ndcg@10,0.3576594480265675,0.3576594480265675,0.06712946186452141,0.5787207902323592,0.8
53,sym_logloss,dcg@10,0.3576594480265675,0.3576594480265675,0.06712946186452141,0.5787207902323592,0.8
54,sym_logloss,map,0.33676154691359533,0.33676154691359533,0.06759820689898302,0.578158259331923,0.8
55,sym_ranknet,loss,0.4445105585048564,0.4445105585048564,0.1435915567397084,0.7112302848147803,0.8
56,sym_ranknet,auc,0.4445105585048564,0.4445105585048564,0.1435915567397084,0.7112302848147803,0.8
57,sym_ranknet,ndcg@10,0.4445105585048564,0.4445105585048564,0.1435915567397084,0.7112302848147803,0.8
58,sym_ranknet,dcg@10,0.4445105585048564,0.4445105585048564,0.1435915567397084,0.7112302848147803,0.8
59,sym_ranknet,map,0.4445105585048564,0.4445105585048564,0.1435915567397084,0.7112302848147803,0.8
60,logloss,loss,0.26097489039323307,0.26097489039323307,0.05926186401658053,0.5349413681880287,0.7
61,logloss,auc,0.36461452053801907,0.36461452053801907,0.09019014825470362,0.633762133889707,0.7
62,logloss,ndcg@10,0.36461452053801907,0.36461452053801907,0.09019014825470362,0.633762133889707,0.7
63,logloss,dcg@10,0.36461452053801907,0.36461452053801907,0.09019014825470362,0.633762133889707,0.7
64,logloss,map,0.36461452053801907,0.36461452053801907,0.09019014825470362,0.633762133889707,0.7
65,ranknet,loss,0.2854652212695974,0.2854652212695974,0.06725667459324391,0.5638483899606457,0.7
66,ranknet,auc,0.36491395354183265,0.36491395354183265,0.09590851562855589,0.6394112081505267,0.7
67,ranknet,ndcg@10,0.36491395354183265,0.36491395354183265,0.09590851562855589,0.6394112081505267,0.7
68,ranknet,dcg@10,0.3617319235631421,0.3617319235631421,0.09494705620559954,0.6371364489751452,0.7
69,ranknet,map,0.36491395354183265,0.36491395354183265,0.09590851562855589,0.6394112081505267,0.7
70,sym_logloss,loss,0.3661825438625056,0.3661825438625056,0.07867589411863146,0.6155250833611488,0.7
71,sym_logloss,auc,0.3661825438625056,0.3661825438625056,0.07867589411863146,0.6155250833611488,0.7
72,sym_logloss,ndcg@10,0.36302732434295737,0.36302732434295737,0.07833520946581651,0.614068283970987,0.7
73,sym_logloss,dcg@10,0.36302732434295737,0.36302732434295737,0.07833520946581651,0.614068283970987,0.7
74,sym_logloss,map,0.3661825438625056,0.3661825438625056,0.07867589411863146,0.6155250833611488,0.7
75,sym_ranknet,loss,0.39720998747148095,0.39720998747148095,0.11171828688737073,0.6692070709882613,0.7
76,sym_ranknet,auc,0.39720998747148095,0.39720998747148095,0.11171828688737073,0.6692070709882613,0.7
77,sym_ranknet,ndcg@10,0.39720998747148095,0.39720998747148095,0.11171828688737073,0.6692070709882613,0.7
78,sym_ranknet,dcg@10,0.39720998747148095,0.39720998747148095,0.11171828688737073,0.6692070709882613,0.7
79,sym_ranknet,map,0.39720998747148095,0.39720998747148095,0.11171828688737073,0.6692070709882613,0.7
80,logloss,loss,0.25698629295401554,0.25698629295401554,0.05906249748402714,0.5348926857588018,0.6
81,logloss,auc,0.31556990882861385,0.31556990882861385,0.07477579378692745,0.5908659003938168,0.6
82,logloss,ndcg@10,0.31556990882861385,0.31556990882861385,0.07477579378692745,0.5908659003938168,0.6
83,logloss,dcg@10,0.30953293820129535,0.30953293820129535,0.07297405929853594,0.5853934314016028,0.6
84,logloss,map,0.31556990882861385,0.31556990882861385,0.07477579378692745,0.5908659003938168,0.6
85,ranknet,loss,0.2551949237299064,0.2551949237299064,0.058839764489312364,0.5342025536955435,0.6
86,ranknet,auc,0.3112358471122433,0.3112358471122433,0.07409324901392435,0.588925484872995,0.6
87,ranknet,ndcg@10,0.3112358471122433,0.3112358471122433,0.07409324901392435,0.588925484872995,0.6
88,ranknet,dcg@10,0.2890405167145593,0.2890405167145593,0.06780798073319062,0.567538654072002,0.6
89,ranknet,map,0.3112358471122433,0.3112358471122433,0.07409324901392435,0.588925484872995,0.6
90,sym_logloss,loss,0.3314600043763115,0.3314600043763115,0.0800094444235453,0.6064239373415766,0.6
91,sym_logloss,auc,0.3314600043763115,0.3314600043763115,0.0800094444235453,0.6064239373415766,0.6
92,sym_logloss,ndcg@10,0.3314600043763115,0.3314600043763115,0.0800094444235453,0.6064239373415766,0.6
93,sym_logloss,dcg@10,0.3314600043763115,0.3314600043763115,0.0800094444235453,0.6064239373415766,0.6
94,sym_logloss,map,0.3314600043763115,0.3314600043763115,0.0800094444235453,0.6064239373415766,0.6
95,sym_ranknet,loss,0.3311638640351842,0.3311638640351842,0.08401166881118986,0.6116177121505899,0.6
96,sym_ranknet,auc,0.3311638640351842,0.3311638640351842,0.08401166881118986,0.6116177121505899,0.6
97,sym_ranknet,ndcg@10,0.32006843495872705,0.32006843495872705,0.08006858538432786,0.6011457075830935,0.6
98,sym_ranknet,dcg@10,0.32006843495872705,0.32006843495872705,0.08006858538432786,0.6011457075830935,0.6
99,sym_ranknet,map,0.3311638640351842,0.3311638640351842,0.08401166881118986,0.6116177121505899,0.6
